Product Name,Total_Quantity,Total_Amount_PKR,Average_Price_PKR,Total_Transactions,Primary_Vendor
+,1.0,14800.0,14800.0,1,Opening Stock
00 Sm Kenwood Sandwich Maker,1.0,6800.0,6800.0,1,Opening Stock
0000  St National 900W 3in1 Juicer,1.0,0.0,0.0,1,Opening Stock
00002 Panasonic 3in1 Juicer,1.0,0.0,0.0,1,Opening Stock
001 Hair Dryer,21.0,23100.0,1100.0,1,MA Traders Madina Bara Center Basement
001 Plastic Kettle,611.0,773025.0,1269.29,7,Sitara Trading Company
001 ST National Blender,3.0,3120.0,1040.0,1,Opening Stock
001 Zhenmi China Chopper,1.0,7000.0,7000.0,1,Opening Stock
002 stc kettle,600.0,759000.0,1265.0,4,Sitara Trading Company
003 Anex Plus Kettle,13.0,16640.0,1280.0,2,Opening Stock
003 stc Kenwood Kettle,774.0,1103250.0,1441.67,9,Sitara Trading Company
004 St 7020 National Blender,283.0,537700.0,1900.0,3,Opening Stock
004 St 7025 Copper Blender,52.0,98800.0,1900.0,4,Opening Stock
004 stc kenwood kettle,840.0,1197000.0,1425.0,7,Sitara Trading Company
005 Natianal egg beater,6.0,9000.0,1500.0,1,Opening Stock
005 Panasonic Sandwich Maker,1.0,1480.0,1480.0,1,Opening Stock
005 Philips Kettle,334.0,442550.0,1325.0,3,Opening Stock
005 St National Blender,3.0,4050.0,1350.0,1,Opening Stock
006 Panasonic Large Dish Heater,1.0,2950.0,2950.0,1,Opening Stock
006 Panasonic Sandwich Maker,61.0,132675.0,2175.0,2,Opening Stock
006 kettle 1.7 litter,120.0,198000.0,1650.0,8,Sitara Trading Company
007 Panasonic Kettle,203.0,334950.0,1650.0,9,Sitara Trading Company
0071 Decora Handy Steamer,137.0,753500.0,5500.0,9,Noshad Rasheed Center
008 Kenwood Kettle,998.0,1447100.0,1450.0,6,Sitara Trading Company
008 Philips Sandwich Maker,88.0,237600.0,2700.0,8,Sitara Trading Company
009 Panaosnic Kettle,942.0,1365900.0,1450.0,6,Sitara Trading Company
01 Anex Handy Chopper,3.0,4504.5,1501.5,1,Anex Company Farrukh Sahab
01 Golden Raf Hot Plate,400.0,1308000.0,3270.0,3,Shahbaz Khan China Center Hall Road 
01 Tap,732.0,1390800.0,1900.0,4,Kamran Hall Road
010 Panasonic Chopper 3 Ltr,1.0,2450.0,2450.0,1,Opening Stock
012 Panasonics Chopper 3 Ltr,1271.0,3125200.0,2461.11,18,Sitara Trading Company
012 Seco Fan Heater,2232.0,4017600.0,1800.0,6,Abid Bhai Seco 
013 Kenwood Chopper 3 Ltr,1151.0,2830750.0,2459.21,19,Sitara Trading Company
014 Raf Chopper,666.0,1642500.0,2467.5,10,Sitara Trading Company
014 Seco Fan Heater,1840.0,4091700.0,2222.22,10,Abid Bhai Seco 
015 FH JL Nova Fan heater,8.0,17000.0,2150.0,2,Abid Bhai Seco 
015 Panasonic Chopper 3 ltr,189.0,467775.0,2475.0,3,Sitara Trading Company
015 seco hellogen 3 rad,124.0,272800.0,2200.0,3,Abid Bhai Seco 
016 Kenwood Chopper 3 Ltr,180.0,436500.0,2425.0,3,Sitara Trading Company
016 Seco Fan Heater,1417.0,3294525.0,2325.0,6,Abid Bhai Seco 
0171 Decora Steamer,16.0,204800.0,12800.0,3,Noshad Rasheed Center
02 Tap With Shawar,334.0,768200.0,2300.0,3,Kamran Hall Road
020 Kenwood Hand Blender,503.0,2062300.0,4100.0,12,Sitara Trading Company
020 SK 20L Panasonic Microwave Oven,1.0,8000.0,8000.0,1,Opening Stock
020 ST Heater,636.0,667800.0,1050.0,1,Opening Stock
0255 National Sandwich Maker,860.0,1761500.0,2033.33,3,Ibrahim Khan 
027 Raf Chopper 3 ltr,126.0,337050.0,2675.0,3,Sitara Trading Company
0271 Decora Steamer,6.0,85200.0,14200.0,3,Noshad Rasheed Center
02HBM Kenwood Hand Blender,14.0,140000.0,10000.0,2,Opening Stock
03 A MAX Table Dish Heater,1.0,2100.0,2100.0,1,Opening Stock
03 FH Lider Fan Heater,1.0,1300.0,1300.0,1,Opening Stock
03 FH Renova Fan Heater,1.0,1425.0,1425.0,1,Opening Stock
03 Panasonic Sandwich Maker,1.0,2600.0,2600.0,1,Opening Stock
030 Kenwood Hand Blender,234.0,1029600.0,4400.0,12,Sitara Trading Company
0306 Anex Plus Food Processor,2.0,11000.0,5500.0,1,Opening Stock
0307 egg beater indus,2.0,2960.0,1480.0,1,Opening Stock
036 Effeline Food Processor,4.0,18000.0,4500.0,1,Opening Stock
04 Anex French Fries Cutter,7.0,14651.0,2093.0,3,Anex Company Farrukh Sahab
04 FH JL Nova Fan Heater,9.0,12600.0,1400.0,2,Opening Stock
04 FH Resovio Fan Heater,1.0,1400.0,1400.0,1,Opening Stock
04 Renova Fan Heater,1.0,1425.0,1425.0,1,Opening Stock
0426 RAF Hot Plate,931.0,3910200.0,4200.0,7,Zeeshan NP
045 STICK CHINA,667.0,1250700.0,1893.75,4,Baseer Bhai Mustafa Center
06 FH Renova Fan Heater,3.0,6300.0,2100.0,1,Opening Stock
06 Hot Plate,16.0,59200.0,3700.0,1,Sitara Trading Company
06 Kenwood Sandwich Maker,650.0,1874000.0,3040.0,5,Ibrahim Khan 
0699 Philips Sandwich Maker,1512.0,4763100.0,3187.5,8,Ibrahim Khan 
07 FH JL Nova Fan Heater,1.0,1850.0,1850.0,1,Opening Stock
07 Kenwood Blender,361.0,1119100.0,3100.0,2,Ibrahim Khan 
08 Anex Multi Cutter With 5 Blades,1.0,2184.0,2184.0,1,Anex Company Farrukh Sahab
08 Philips Blender,152.0,471200.0,3100.0,3,Opening Stock
081 China Rod Heater,2.0,3000.0,1500.0,1,Opening Stock
0814 Panasonic Iron Special Polish,1983.0,3219355.0,1605.31,16,Haider Sahab Iron
0815 Panasonic Iron China Special AK,2013.0,4848850.0,2410.67,16,Haider Sahab Iron
0816 Panasonic Iron Special Gray,2848.0,4567090.0,1604.44,19,Haider Sahab Iron
0817 Panasonic Iron,302.0,558700.0,1850.0,3,Shahid Bhai Iron
0820 P Golden Iron,177.0,359880.0,1976.67,3,Opening Stock
0820 P Gray Iron,607.0,1194260.0,1961.43,8,Haider Sahab Iron
0846 Life Relaxe Fan Heater,3.0,6000.0,2000.0,2,Opening Stock
0946 Life Relaxe Fan Heater,2.0,5400.0,2700.0,1,Opening Stock
0964 Philips Blender,1.0,2970.0,2970.0,1,Opening Stock
0964 St National Blender,500.0,1490000.0,2933.33,6,Opening Stock
097 St Dish Heater,525.0,656250.0,1250.0,1,Asad Bhatti Gujranwala
099 St 17 Inch Black Dish Heater,923.0,2473640.0,2680.0,2,Asad Bhatti Gujranwala
1 Litter Glass Jug,91846.0,39930200.0,455.33,15,Sitara Traders Micro Deal 
1.5 Litter Glass Jug,470.0,446500.0,950.0,2,Opening Stock
1.5 Ltr Manual Chopper,6.0,3390.0,565.0,1,Opening Stock
1.5 Ton TCL Air Conditioner,1.0,147000.0,147000.0,1,Farukh Bhai Dawlance 
10 Anex Handy Chopper,2.0,4404.4,2202.2,1,Anex Company Farrukh Sahab
10 Ltr Philips Rice Cooker IB,9.0,63000.0,7000.0,3,Opening Stock
10 MD Dawlance Microwave Oven,1077.0,14855600.0,13874.24,33,Farukh Bhai Dawlance 
100 DS Hot Plate,184.0,622400.0,3370.0,5,Sitara Trading Company
100 GB Stick Blender,5.0,10125.0,2025.0,1,Opening Stock
100 MJ 3in1 Juicer,9.0,43800.0,4866.67,3,Sitara Trading Company
100 ND National Sandwich Maker Steel,211.0,917850.0,4350.0,4,National Distributor
100 Spell Juicer,1.0,5162.0,5162.0,1,Opening Stock
100 number blender,42.0,210000.0,5000.0,3,Opening Stock
1000 Panasonic Blender Heavy Motor,1.0,3500.0,3500.0,1,Opening Stock
1000 Panasonic Food Processor,5.0,40950.0,8183.33,3,Sitara Trading Company
1001 DSP Citrus,1.0,1430.0,1430.0,1,Opening Stock
1001 National 3in1 Juicer,3.0,7050.0,2350.0,1,Opening Stock
1001 Panasonic Food Processor,1.0,12282.0,12282.0,1,Opening Stock
1002 DSP Citrus Pres,1.0,1400.0,1400.0,1,Opening Stock
1002 DSP grillr,1.0,3400.0,3400.0,1,Opening Stock
1002 Panasonic Food Factory,95.0,1268250.0,13350.0,2,Opening Stock
1003 Panasonic Food Factory,4.0,49416.0,12354.0,2,National Distributor
1004 MJ 4in1 Juicer,18.0,95400.0,5300.0,5,Sitara Trading Company
101 ND National Sandwich Maker,2.0,2980.0,1490.0,1,Opening Stock
1010 Oxford Juicer,1.0,2485.4,2485.4,1,Opening Stock
1010 Panasonic Food Factory,43.0,356900.0,8300.0,1,Opening Stock
1015 Oxford Juicer,3.0,7440.0,2480.0,1,Opening Stock
1015 Panasonic Blender,6.0,5730.0,955.0,1,Opening Stock
1018 Anex Handy Garment Steamer,15.0,132405.0,8827.0,3,Opening Stock
1018 Panasonic Blender 7020 Copper,4190.0,1918620.0,1980.0,17,Saddam Bhai Jamal Center
1018 Panasonic Blender ABS,31.0,44950.0,1450.0,2,Opening Stock
1019 Anex Handy Garment Steamer 1900 Watt,58.0,448211.4,7832.82,5,Anex Company Farrukh Sahab
1019 body panasonic blender,3600.0,666000.0,185.0,2,Opening Stock
1019 jug,3600.0,810000.0,225.0,2,Opening Stock
102 Anex Hand Blender,1.0,3500.0,3500.0,1,Opening Stock
102 Arson Blender,1.0,1100.0,1100.0,1,Opening Stock
102 EURO BLENDER,3.0,2940.0,980.0,1,Opening Stock
102 GB Info 3in1 Juicer,3.0,6975.0,2325.0,1,Opening Stock
102 Kenwood Chopper,155.0,713000.0,4600.0,4,Opening Stock
102 Lion Sandwich Maker,1.0,1200.0,1200.0,1,Opening Stock
102 Spell 3in1 Juicer,1.0,3560.0,3560.0,1,Opening Stock
1020 Anex Garment Steamer,6.0,120120.0,20020.0,2,Opening Stock
1020 B Dawlance Iron Black,73.0,416968.0,4728.0,4,Ittehad Sumandari Imran Sahiwal
1020 Oxford Chopper,12.0,18576.0,1548.0,1,Opening Stock
1020 Panasonic Blender,5.0,5605.0,1121.0,1,Opening Stock
1020 W Dawlance Iron,137.0,435272.0,3437.33,3,Opening Stock
1021 Panasonic Blender Original,5.0,65000.0,13000.0,3,Opening Stock
1021 W GX MX Panasonic Blender,8.0,11600.0,1450.0,1,Opening Stock
1023 Pansonics Electric Oven,55.0,467500.0,8500.0,6,Abid Bhai Seco 
1025 Anex Steam Iron,1.0,6688.5,6688.5,1,Opening Stock
1026 Anex Steam Iron,1.0,4295.2,4295.2,1,Opening Stock
1026 Panasonic Blender DD STC,12.0,24900.0,2075.0,1,Opening Stock
1026 Panasonic Electrics Oven,262.0,2470000.0,9500.0,14,Abid Bhai Seco 
1027 Anex Steam Iron,43.0,319910.5,7434.7,5,Anex Company Farrukh Sahab
1028 Anex Steam Iron,31.0,210210.0,7067.67,4,Anex Company Farrukh Sahab
1028 DSP Citrus,1.0,1250.0,1250.0,1,Opening Stock
103 Deuron Plus DD Blender,43.0,44290.0,1030.0,2,Opening Stock
103 FH Renova Fan Heater,20.0,46000.0,2300.0,2,Opening Stock
103 Life Relaxe Kettle,1.0,1350.0,1350.0,1,Opening Stock
103 ND National Sandwich Maker Steel,206.0,628836.0,3049.58,19,National Distributor
103 Panasonic Chopper,1.0,2900.0,2900.0,1,Opening Stock
1030 Oxford Chopper,40.0,206400.0,5160.0,1,Opening Stock
1035 Anex Sandwich Maker,29.0,150423.0,5187.0,3,Opening Stock
1035 Seco Electric Oven,189.0,2472000.0,13112.5,8,Abid Bhai Seco 
1037 Anex Sandwich Maker,24.0,129948.0,5414.5,4,Opening Stock
1039 Anex Sandwich Maker,26.0,230685.0,8872.5,3,Opening Stock
104 SECO THORMAS,1.0,990.0,990.0,1,Opening Stock
104 Spell 4in1 Juicer,2.0,11748.0,5874.0,1,Opening Stock
1040 GB National Golden Iron,698.0,828640.0,1192.0,5,Haider Sahab Iron
1040 GB National Gray Iron,4732.0,5615252.5,1187.56,34,Haider Sahab Iron
1040 GB Panasonic Iron Golden,894.0,1091040.0,1220.0,6,Haider Sahab Iron
1040 GB Panasonic Iron Gray,3000.0,3677280.0,1218.48,23,Haider Sahab Iron
1040 Oxford Food Factory,7.0,53096.4,7585.2,2,Opening Stock
1040 PANADONIC FOOD PROCESSOR,1.0,5000.0,5000.0,1,Opening Stock
1041 Anex Chopper,15.0,267305.0,16760.4,5,Anex Company Farrukh Sahab
1045 Anex Chopper,3.0,17400.0,5800.0,2,Opening Stock
1045 Oxford Food Processor,2.0,16262.6,8131.3,1,Opening Stock
1048 Oxford Food Factory,2.0,15927.2,7963.6,1,Opening Stock
105 Deuron Plus Single Dabi,7.0,0.0,0.0,1,Opening Stock
105 cambridge sandwich maker,1.0,1290.0,1290.0,1,Opening Stock
1050 Oxford Chopper,1.0,4291.4,4291.4,1,Opening Stock
1050 Panasonic Blender,1.0,990.0,990.0,1,Opening Stock
1053 ND National Hot Plate,89.0,464580.0,5220.0,10,National Distributor
1054 Anex Plus Heater,1.0,1000.0,1000.0,1,Opening Stock
1055 ND National Hot Plate,612.0,3283728.0,5292.5,24,National Distributor
1056 ST NATIONAL CHOPPER,1.0,1800.0,1800.0,1,Opening Stock
1058 ND National Hot Plate,5.0,25665.0,5133.0,2,National Distributor
1058 Panasonics Electric Oven,57.0,900600.0,15800.0,2,Abid Bhai Seco 
1059 Life Relax Chopper,1.0,4100.0,4100.0,1,Opening Stock
106 Anex Blender,2.0,4980.0,2490.0,1,Opening Stock
106 ND National Sandwich Maker Steel,282.0,860778.0,3060.82,11,National Distributor
1064 Anex 20 Ltr Electric Oven Toaster,4.0,55328.0,13832.0,2,Opening Stock
1065 Anex 20 Ltr Electric Oven Toaster,1.0,14833.0,14833.0,1,Opening Stock
1065 Panasonic Electric Oven,8.0,154400.0,19300.0,1,Opening Stock
1065 nd hot plate,161.0,868260.0,5254.8,10,National Distributor
1066 nd hot plate,11.0,58377.0,5307.0,1,Opening Stock
107 A Max Box Heater,2.0,2250.0,1125.0,1,Opening Stock
107 Deuron Double Dabi,4.0,12582.0,3145.5,1,Opening Stock
107 Kenwood Air Fryer,1836.0,26897400.0,14650.0,28,Zia & Company
107 Panasonic Egg Beater,1.0,1890.0,1890.0,1,Opening Stock
107 R ND National Sandwich Maker RED,11.0,34452.0,3132.0,3,Opening Stock
1070 Anex 32 Ltr BBQ Grill With Fan Electric Oven Toaster,15.0,307125.0,20475.0,1,Anex Company Farrukh Sahab
1071 Anex Dry Iron,1.0,3767.4,3767.4,1,Opening Stock
1072 Anex Light Weight Dry Iron,40.0,156902.0,3989.4,5,Anex Company Farrukh Sahab
1072 Oxford Chopper 3 Ltr,600.0,1569450.0,2645.0,5,Sitara Trading Company
1072 Philips Blender,157.0,180864.0,1152.0,4,Opening Stock
1073 Panasonic Electric Oven,88.0,1672000.0,19000.0,3,Abid Bhai Seco 
1073 Philips Blender,1.0,1160.0,1160.0,1,Opening Stock
1074 Philips Blender DD,36.0,41580.0,1155.0,1,Opening Stock
1074 philips 7015,84.0,172200.0,2050.0,1,Opening Stock
1075 Philips Blender,245.0,252595.0,1031.0,4,Opening Stock
1076 Anex Iron,36.0,226298.8,6306.3,4,Anex Company Farrukh Sahab
1076 Deluxe Philips 4in1 Juicer,32.0,104000.0,3250.0,1,Opening Stock
1076 GB Philips 4in1 Juicer,10.0,30500.0,3050.0,2,Opening Stock
1076 Oxford Single Juicer,12.0,37169.2,3097.43,3,Sitara Trading Company
1079 Anex Dry Iron,16.0,97552.0,6097.0,1,Anex Company Farrukh Sahab
108 Kenwood Sandwich Maker,8.0,21600.0,2700.0,1,Sitara Trading Company
108 ND National Sandwich Maker Black,126.0,383670.0,3045.0,9,National Distributor
108 National Blender,7.0,5880.0,840.0,1,Opening Stock
108 Raf Coffee Beater,108.0,201600.0,1833.33,6,Shahid Sahab Haseeb Traders
108 W ND National Sandwich Maker,48.0,150336.0,3132.0,3,National Distributor
1081 Panasonic Blender Original,5.0,70000.0,14000.0,3,Opening Stock
1086 Anex Insect Killer,3.0,30303.0,10101.0,3,Opening Stock
1087 Anex Insect Killer 20 W,1.0,9418.5,9418.5,1,Opening Stock
1088 Oxford Chopper,144.0,780192.0,5418.0,5,Sitara Trading Company
109 Arson Blender,6.0,6540.0,1090.0,2,Opening Stock
109 ND National Sandwich Maker Steel,66.0,206712.0,3132.0,10,National Distributor
10B1 Kenwood Food Factory,23.0,186300.0,8100.0,1,Opening Stock
11 Anex Pull Chopper Manual,8.0,11870.0,1459.33,3,Anex Company Farrukh Sahab
11 IB Microwave Oven Black,478.0,5568700.0,11650.0,7,Ibrahim Khan 
110 Oxford Iron,360.0,592986.78,1630.98,10,Sitara Trading Company
110 Panasonic Blender,18.0,15480.0,860.0,1,Opening Stock
110 RAF Hot Plate,566.0,1919100.0,3386.36,11,Sitara Trading Company
1100 Kenwood Food Factory,14.0,114100.0,8150.0,5,Sitara Trading Company
1101 Deuron Hand Blender,1.0,3600.0,3600.0,1,Opening Stock
1102 Panasonic Food Factory,1.0,4300.0,4300.0,1,Opening Stock
1103 NP National Food Processor,36.0,216000.0,6000.0,1,Opening Stock
1105 Kenwood Food Factory,40.0,332000.0,8300.0,1,Zia & Company
1108 Braun Food Factory,1.0,10100.0,10100.0,1,Opening Stock
1108 Panasonic Food Factory,1.0,10100.0,10100.0,1,Opening Stock
1108 Philips Food Factory,1.0,10100.0,10100.0,1,Opening Stock
1108 Saachi Vacuum,1.0,9000.0,9000.0,1,Opening Stock
111 Heater 3 Rod,86.0,105600.0,1230.0,5,National Distributor
111 ND National Air Fryer,1.0,14062.0,14062.0,1,Opening Stock
111 ND National Blender,6.0,25500.0,4250.0,1,Opening Stock
111 Oxford Blender,1.0,1836.1,1836.1,1,Opening Stock
111 Panasonic Microwave Oven,982.0,11529950.0,11570.0,10,Opening Stock
111 Raf Hot Plate,400.0,1304000.0,3275.0,6,Sitara Trading Company
111 St National Blender,111.0,240315.0,2165.0,3,Opening Stock
111 Unitech Blender,10.0,8400.0,840.0,2,Opening Stock
1112 INSECT KILLER SECO,1.0,1750.0,1750.0,1,Opening Stock
1116 Seco Insect Killer,2.0,5500.0,2750.0,1,Opening Stock
1117 Hitachi Citrus Press,1.0,4500.0,4500.0,1,Opening Stock
112 Anex Stick,1.0,2300.0,2300.0,1,Opening Stock
112 Deuron 2in1 Blender,1.0,2259.0,2259.0,1,Opening Stock
112 Kenwood Sandwich Maker,430.0,772700.0,1799.09,11,Sitara Trading Company
112 ND National Sandwich Maker Detachable,146.0,851034.0,5829.0,6,National Distributor
112 National Blender,2.0,2080.0,1040.0,1,Opening Stock
112 Philips Hand Blender,373.0,1230900.0,3300.0,19,Sitara Trading Company
112 moulinex stick,1.0,1390.0,1390.0,1,Opening Stock
1120 Anex Garment Steamer,9.0,192647.0,21476.0,2,Anex Company Farrukh Sahab
1121 Anex Garment Steamer,17.0,354991.0,20657.0,4,Anex Company Farrukh Sahab
1125 ND National Fan Heater,1.0,4272.0,4272.0,1,Opening Stock
113 C BLENDER DEURON,1.0,2200.0,2200.0,1,Opening Stock
113 Deuron 3in1 Blender,11.0,28660.5,2605.5,1,Opening Stock
113 Kenwood Sandwich Maker,3.0,6150.0,2050.0,1,Opening Stock
113 ND National Sandwich Maker,2.0,7120.0,3560.0,1,Opening Stock
113 Oxford Iron,1.0,890.0,890.0,1,Opening Stock
113 ST National Iron Regular,222.0,322628.0,1418.0,4,Opening Stock
113 St National Special Iron,4938.0,8094135.0,1631.25,37,Haider Sahab Iron
1136 KW 3in1 Juicer White Body 7025CC,225.0,0.0,0.0,1,Saddam Bhai Jamal Center
1137 3in1 Juicer White Body 7025CC National,261.0,0.0,0.0,2,Saddam Bhai Jamal Center
1138 MS 3in1 Juicer 7025CC Panasonic,750.0,0.0,0.0,6,Saddam Bhai Jamal Center
114 ND National Sandwich Maker,72.0,419688.0,5829.0,5,Opening Stock
114 ST National Iron,101.0,105242.0,1042.0,3,Opening Stock
1140 Kenwood Food Processor,31.0,232500.0,7500.0,4,Sitara Trading Company
1141 Anex Chopper,33.0,560065.5,16857.88,8,Anex Company Farrukh Sahab
115 Dawlance Microwave Oven,21.0,744915.8,38952.63,6,Opening Stock
115 PEL Water Dispenser GD Purple,1.0,18200.0,18200.0,1,Opening Stock
115 St National Iron,184.0,283966.0,1511.2,5,Opening Stock
1150 Seco Food Factory,12.0,78000.0,6500.0,1,Opening Stock
116 Deuron 3in1 Blender,2.0,8810.0,4405.0,1,Opening Stock
116 Oxford Steam Iron,3.0,5727.6,1909.2,2,Opening Stock
116 ST National Iron,48.0,46176.0,962.0,1,Opening Stock
116 YES O INSECT KILLER,1.0,1990.0,1990.0,1,Opening Stock
117 Oxford Steam Iron,3.0,5727.6,1909.2,1,Opening Stock
1172 China Philips Iron,501.0,822225.0,1689.29,7,Shahid Bhai Iron
1172 Philips Iron Original,135.0,706000.0,5172.73,11,Qazzafi Electronics 
1174 Philips Iron Light Weight,768.0,1152000.0,1500.0,9,Shahid Bhai Iron
1176 Jack Pot 4in1 Juicer,1.0,2775.0,2775.0,1,Opening Stock
1177 Panasonic Juicer 3in1,2.0,5550.0,2775.0,2,Opening Stock
1177 Seco Roti Maker,9.0,16200.0,1800.0,2,Opening Stock
118 Deuron Blender,4.0,15820.0,3955.0,1,Opening Stock
118 Kenwood Blender,1.0,1450.0,1450.0,1,Opening Stock
