code,name,description,cost_price
PHONE-001,Samsung Galaxy S24,High-quality Samsung Galaxy S24,90000
PHONE-002,iPhone 15 Pro,High-quality iPhone 15 Pro,150000
ACC-001,USB-C Charger,High-quality USB-C Charger,3000
ACC-002,HDMI Cable,High-quality HDMI Cable,1200
ACC-003,Phone Case,High-quality Phone Case,600
ACC-004,Screen Protector,High-quality Screen Protector,900
ACC-005,Wireless Earbuds,High-quality Wireless Earbuds,4800
ACC-006,Power Bank 20000mAh,High-quality Power Bank 20000mAh,9000
ACC-007,Laptop Stand,High-quality Laptop Stand,1800
ACC-008,USB Hub 7-Port,High-quality USB Hub 7-Port,2400
PHONE001,Samsung Phone,,50000
ddff,dfdfde,,12300
1218,panasonic blender grinder,,2250
PHASE4-TEST-001,Test Product Phase 4,,1000
820 panasonic microwave oven glass door,820 Panasonic Microwave Oven Glass Door,,12150
1571 mx blender,1571 MX Blender,,2525
105 cambridge sandwich maker,105 cambridge sandwich maker,,1290
336 st sandwich maker,336 st sandwich maker,,0
5227 maverick 4in1 juicer,5227 Maverick 4in1 Juicer,,2550
06 fh renova fan heater,06 FH Renova Fan Heater,,2100
3002 multy net blender,3002 Multy Net Blender,,1260
3059 anex chopper,3059 Anex Chopper,,14482.14
8850 nd national blender 1.5 ltr,8850 ND National Blender 1.5 Ltr,,6133
1.5 litter glass jug,1.5 Litter Glass Jug,,950
18 kettle china np,18 Kettle China NP,,1176.47
2603 sencor toaster,2603 Sencor Toaster,,1950
16 inch new solo charging fan,16 Inch New Solo Charging Fan,,6200
4000 philips air fryer,4000 Philips Air Fryer,,10000
7084 nd national blender dd,7084 ND National Blender DD,,3306
0306 anex plus food processor,0306 Anex Plus Food Processor,,5500
176 premium panasonic juicer 3in1,176 Premium Panasonic Juicer 3in1,,2950
2158 anex citrus press,2158 Anex Citrus Press,,7902
06 hot plate,06 Hot Plate,,3700
307 nd hellogen heatrt,307 ND HELLOGEN  HEATRT,,3400
6060 st national 3in1 juicer,6060 St National 3in1 Juicer,,2550
666 national chopper,666 National Chopper,,5000
555 st base,555 st base,,110
1847 philips 3in juicer,1847 Philips 3in Juicer,,3300
2005 china kettle steel ib,2005 China Kettle Steel IB,,800
2244 cambridge blender,2244 Cambridge Blender,,5500
complete juicer black pure,complete juicer black  pure,,1320
305 kenwood hand blender,305 Kenwood Hand Blender,,3075
5880 kenwood food factory,5880 Kenwood Food Factory,,8098.28
116 yes o insect killer,116 YES O INSECT KILLER,,1990
7181 x on blender,7181 X ON Blender,,1300
625 st national microwave oven,625 ST NATIONAL MICROWAVE OVEN,,7900
01 golden raf hot plate,01 Golden Raf Hot Plate,,3270
2025 panasonic food factory,2025 Panasonic Food Factory,,8937.5
6135 anex blender,6135 Anex Blender,,7371
box 2700 pan blender,Box 2700 Pan Blender,,76.5
2575 china egg beater,2575 China Egg Beater,,971.11
2695 r ms lido fan,2695 R MS Lido Fan,,4250
box 1616 3in1 juicer,Box 1616 3in1 Juicer,,81
321 nd national vacuum cleaner,321 ND National Vacuum Cleaner,,11745
9023 kentax microwave oven,9023 Kentax Microwave Oven,,6800
260 kenwood citrus press,260 Kenwood Citrus Press,,0
90 anex single juicer,90 Anex Single Juicer,,12967.67
550 black & decker iron,550 Black & Decker Iron,,8500
322 cambridge toaster,322 Cambridge Toaster,,0
601 st national blender dd,601 St National Blender DD,,2800
012 panasonics chopper 3 ltr,012 Panasonics Chopper 3 Ltr,,2461.11
1341 geepas kettle,1341 Geepas Kettle,,0
800 oxford blender,800 Oxford Blender,,2033.18
1600 philips 3in1 juicer 7030 cooper,1600 Philips 3in1 Juicer 7030 cooper,,5250
490 panasonic vacuum cleaner nd,490 Panasonic Vacuum Cleaner ND,,11600
306079 silver crust china toaster,306079 Silver Crust China Toaster,,2150
venus income tax return,Venus Income Tax Return,,65000
104 spell 4in1 juicer,104 Spell 4in1 Juicer,,5874
625 nd national food factory,625 ND National Food Factory,,8700
826 anex coffee maker,826 Anex Coffee Maker,,20839
2132 anex sandwich maker,2132 Anex Sandwich Maker,,6825
485 philips kettle,485 Philips Kettle,,1330
2515 cr dawlance oven toaster,2515 CR Dawlance Oven Toaster,,13881
1760 wp body 4in juicer 7025 copper,1760 WP Body 4in Juicer 7025 Copper,,0
016 seco fan heater,016 Seco Fan Heater,,2325
15 g power tap,15 G Power Tap,,3450
425 mo microwave oven,425 MO Microwave Oven,,15950
9300 national food factory,9300 National Food Factory,,5300
1070 anex 32 ltr bbq grill with fan electric oven toaster,1070 Anex 32 Ltr BBQ Grill With Fan Electric Oven Toaster,,20475
824 nd national stick blender,824 ND National Stick Blender,,4176
1300 remington hair dryer,1300 Remington Hair Dryer,,1250
371 panasonic electric oven,371 Panasonic Electric Oven,,8500
3760 ak juicer 4 in1 pc,3760 AK Juicer 4 IN1 PC,,3950
804 nd national hand blender with chopper,804 ND National Hand Blender With Chopper,,5568
77 anex single juicer,77 Anex Single Juicer,,9282
80 number blender,80 Number blender,,5000
1001 national 3in1 juicer,1001 National 3in1 Juicer,,2350
834 anex stand egg beater,834 Anex Stand Egg Beater,,21580.65
786 national double blender,786 National Double Blender,,1150
910 ns blender,910 NS Blender,,1834.38
shelving hard 3in1 juicer,Shelving Hard 3in1 Juicer,,231.07
2131 anex sandwich maker,2131 Anex Sandwich Maker,,5232.5
753 china kettle,753 China Kettle,,1100
121 panasonic microwave oven,121 Panasonic Microwave Oven,,11500
fish white 2023,fish white 2023,,665
210 s pro dawlance microwave oven,210 S Pro Dawlance Microwave Oven,,14040
500012 l philips air fryer,500012 L Philips Air Fryer,,14537.5
