"Ghazanfar Brothers
Purchase Detail Report
Date From: 25-09-2001    To: 04-07-2026",,,,,,,
Date Time,Item,Unit Name,Unit Number,Quantity,Purchase Price,Amount,Account Name
Stock ID: 124-10 ,,,,,,,
02-Sep-25 ,500012 L Philips Air Fryer,,5,5,15000,"75,000",Opening Stock
02-Sep-25 ,5004 Anex Fan Heater,,1,1,6370,"6,370",Opening Stock
02-Sep-25 ,501 ND National Insect Killer 16W,,1,1,4524,"4,524",Opening Stock
02-Sep-25 ,5005 M Net Microwave Oven,,6,6,16000,"96,000",Opening Stock
02-Sep-25 ,500012 L Philips Air Fryer,,1,1,15000,"15,000",Opening Stock
02-Sep-25 ,500012 L Philips Air Fryer,,64,64,15000,"960,000",Opening Stock
02-Sep-25 ,501 Panasonic 3in1 Juicer 7025CC,,4,4,3200,"12,800",Opening Stock
02-Sep-25 ,501 Panasonic 3in1 Juicer 7025CC,,2,2,3200,"6,400",Opening Stock
02-Sep-25 ,5000 National Microwave,,1,1,16000,"16,000",Opening Stock
02-Sep-25 ,5001 Multy Net Chopper,,1,1,3150,"3,150",Opening Stock
02-Sep-25 ,5005 M Net Microwave Oven,,3,3,16000,"48,000",Opening Stock
,,,,89.00,,"1,243,244.00",
Stock ID: 124-1000 ,,,,,,,
13-Sep-25 ,Juicer White Body 3in1 7025 Copper,,150,150,0,,Saddam Bhai Jamal Center
,,,,150.00,,0.00,
Stock ID: 124-1001 ,,,,,,,
13-Sep-25 ,1907 Panasonic Sandwich Maker,,350,350,2150,"752,500",Multy Net Mehdi Bhai
13-Sep-25 ,1907 Panasonic Sandwich Maker,,210,210,2150,"451,500",Multy Net Mehdi Bhai
13-Sep-25 ,1802 Philips Sandwich Maker,,140,140,2150,"301,000",Multy Net Mehdi Bhai
,,,,700.00,,"1,505,000.00",
Stock ID: 124-1002 ,,,,,,,
13-Sep-25 ,1140 Kenwood Food Processor,,4,4,7500,"30,000",Sitara Trading Company
13-Sep-25 ,140 Panasonic Food Processor,,6,6,7500,"45,000",Sitara Trading Company
,,,,10.00,,"75,000.00",
Stock ID: 124-10021 ,,,,,,,
04-Dec-25 ,3096 ND National Garments Steamer,,4,4,11310,"45,240",National Distributor
04-Dec-25 ,1055 ND National Hot Plate,,8,8,5220,"41,760",National Distributor
04-Dec-25 ,180 ND National 3in1 Juicer,,3,3,6786,"20,358",National Distributor
04-Dec-25 ,1053 ND National Hot Plate ,,8,8,5220,"41,760",National Distributor
04-Dec-25 ,1065 nd hot plate,,8,8,5220,"41,760",National Distributor
,,,,31.00,,"190,878.00",
Stock ID: 124-10033 ,,,,,,,
04-Dec-25 ,20MXP4 Haier 20L Micro Oven,,38,38,12100,"459,800",Rana Electric Gardh Mord
04-Dec-25 ,20MXP4 Haier 20L Micro Oven,,1,1,12100,"12,100",Rana Electric Gardh Mord
04-Dec-25 ,20MXP4 Haier 20L Micro Oven,,101,101,12100,"1,222,100",Rana Electric Gardh Mord
,,,,140.00,,"1,694,000.00",
Stock ID: 124-10034 ,,,,,,,
04-Dec-25 ,1040 GB National Gray Iron,,150,150,1180,"177,000",Haider Sahab Iron
,,,,150.00,,"177,000.00",
Stock ID: 124-10035 ,,,,,,,
04-Dec-25 ,0816 Panasonic Iron Special Gray,,150,150,1560,"234,000",Haider Sahab Iron
,,,,150.00,,"234,000.00",
Stock ID: 124-10036 ,,,,,,,
04-Dec-25 ,Kettle China National,,240,240,780,"187,200",Multy Net Mehdi Bhai
,,,,240.00,,"187,200.00",
Stock ID: 124-10037 ,,,,,,,
04-Dec-25 ,0071 Decora Handy Steamer,,68,68,5500,"374,000",Noshad Rasheed Center
,,,,68.00,,"374,000.00",
Stock ID: 124-10042 ,,,,,,,
04-Dec-25 ,112 Philips Hand Blender,,6,6,3300,"19,800",Sitara Trading Company
04-Dec-25 ,123 Panasonic Stick Blender,,6,6,2950,"17,700",Sitara Trading Company
,,,,12.00,,"37,500.00",
Stock ID: 124-10043 ,,,,,,,
04-Dec-25 ,555 Microwave Oven,,5,5,11400,"57,000",Sitara Traders Micro Deal 
,,,,5.00,,"57,000.00",
Stock ID: 124-10044 ,,,,,,,
04-Dec-25 ,5020 Panasonic Air Fryer,,84,84,10000,"840,000",National Distributor
,,,,84.00,,"840,000.00",
Stock ID: 124-10045 ,,,,,,,
04-Dec-25 ,9200 Philips Air Fryer ,,1,1,23000,"23,000",Abdul Rehman Rehmani Market
,,,,1.00,,"23,000.00",
Stock ID: 124-10047 ,,,,,,,
04-Dec-25 ,Kettle China National,,240,240,780,"187,200",Sitara Trading Company
04-Dec-25 ,321 Oxford Kettle,,12,12,1548,"18,576",Sitara Trading Company
04-Dec-25 ,221 NS National Kettle,,12,12,1584,"19,008",Sitara Trading Company
,,,,264.00,,"224,784.00",
Stock ID: 124-10048 ,,,,,,,
04-Dec-25 ,3600 National 4in1 Juicer,,75,75,3550,"266,250",Sitara Trading Company
,,,,75.00,,"266,250.00",
Stock ID: 124-10050 ,,,,,,,
04-Dec-25 ,3096 ND National Garments Steamer,,4,4,11310,"45,240",National Distributor
,,,,4.00,,"45,240.00",
Stock ID: 124-10059 ,,,,,,,
04-Dec-25 ,4054 Anex Kettle ,,12,12,6552,"78,624",Anex Company Farrukh Sahab
,,,,12.00,,"78,624.00",
Stock ID: 124-10102 ,,,,,,,
04-Dec-25 ,Spectra 1500 Q Kneading Machine,,36,36,8400,"302,400",Spectra Shakeel Sahab
,,,,36.00,,"302,400.00",
Stock ID: 124-10164 ,,,,,,,
05-Dec-25 ,222 Kenwood Microwave Oven,,100,100,11300,"1,130,000",Sitara Traders Micro Deal 
05-Dec-25 ,222 Kenwood Microwave Oven,,23,23,11300,"259,900",Sitara Traders Micro Deal 
,,,,123.00,,"1,389,900.00",
Stock ID: 124-10165 ,,,,,,,
05-Dec-25 ,925 MO Microwave Oven,,2,2,20000,"40,000",Sitara Traders Micro Deal 
,,,,2.00,,"40,000.00",
Stock ID: 124-10168 ,,,,,,,
05-Dec-25 ,311 Kenwood Blender ,,6,6,1750,"10,500",Sitara Trading Company
,,,,6.00,,"10,500.00",
Stock ID: 124-10172 ,,,,,,,
05-Dec-25 ,4000 Kenwood 4in1 Juicer,,3,3,4250,"12,750",Sitara Trading Company
05-Dec-25 ,013 Kenwood Chopper 3 Ltr,,9,9,2450,"22,050",Sitara Trading Company
,,,,12.00,,"34,800.00",
Stock ID: 124-10176 ,,,,,,,
05-Dec-25 ,113 St National Special Iron,,300,300,1560,"468,000",Haider Sahab Iron
,,,,300.00,,"468,000.00",
Stock ID: 124-10177 ,,,,,,,
05-Dec-25 ,0814 Panasonic Iron Special Polish,,150,150,1560,"234,000",Haider Sahab Iron
05-Dec-25 ,0814 Panasonic Iron Special Polish,,150,150,1560,"234,000",Haider Sahab Iron
,,,,300.00,,"468,000.00",
Stock ID: 124-10178 ,,,,,,,
05-Dec-25 ,408 Panasonic Sandwich Maker,,180,180,1750,"315,000",Imran Mustafai Gujranwala
05-Dec-25 ,408 Panasonic Sandwich Maker,,180,180,1750,"315,000",Imran Mustafai Gujranwala
,,,,360.00,,"630,000.00",
Stock ID: 124-10179 ,,,,,,,
05-Dec-25 ,402 Food Factory ,,75,75,8100,"607,500",Usman Shanwari
05-Dec-25 ,402 Food Factory ,,75,75,8100,"607,500",Usman Shanwari
,,,,150.00,,"1,215,000.00",
Stock ID: 124-10180 ,,,,,,,
05-Dec-25 ,Kettle China National,,160,160,790,"126,400",Zia & Company
,,,,160.00,,"126,400.00",
Stock ID: 124-10181 ,,,,,,,
04-Dec-25 ,GOLDEN JALI ,,1500,"1,500",550,"825,000",Sitara Traders Micro Deal 
04-Dec-25 ,Jali Stainer,,2400,"2,400",355,"852,000",Sitara Traders Micro Deal 
,,,,"3,900.00",,"1,677,000.00",
Stock ID: 124-10186 ,,,,,,,
05-Dec-25 ,Master Carton Juicer ,,600,600,115,"69,000",Ahmad Sahab Printing
,,,,600.00,,"69,000.00",
Stock ID: 124-10211 ,,,,,,,
05-Dec-25 ,656 ND National Air Fryer ,,2,2,12615,"25,230",National Distributor
05-Dec-25 ,225 ND National Microwave Oven,,2,2,17574,"35,148",National Distributor
,,,,4.00,,"60,378.00",
Stock ID: 124-10213 ,,,,,,,
05-Dec-25 ,3070 Kw Chooper,,8,8,5500,"44,000",Sitara Trading Company
,,,,8.00,,"44,000.00",
Stock ID: 124-10219 ,,,,,,,
04-Dec-25 ,5020 Panasonic Air Fryer,,56,56,10000,"560,000",National Distributor
04-Dec-25 ,5030 Panasonic Air Fryer,,20,20,9700,"194,000",National Distributor
,,,,76.00,,"754,000.00",
Stock ID: 124-10222 ,,,,,,,
05-Dec-25 ,Spectra 1500 Q Kneading Machine,,60,60,8400,"504,000",Spectra Shakeel Sahab
,,,,60.00,,"504,000.00",
Stock ID: 124-10271 ,,,,,,,
05-Dec-25 ,600 Mj Panasonic 7025 cooper juicer,,9,9,3800,"34,200",Sitara Trading Company
,,,,9.00,,"34,200.00",
Stock ID: 124-10295 ,,,,,,,
06-Dec-25 ,756 ND National Air Fryer Manual 8 Ltr,,4,4,12006,"48,024",National Distributor
,,,,4.00,,"48,024.00",
Stock ID: 124-10299 ,,,,,,,
06-Dec-25 ,123 Panasonic Stick Blender,,6,6,2950,"17,700",Sitara Trading Company
,,,,6.00,,"17,700.00",
Stock ID: 124-10300 ,,,,,,,
